date,open,high,low,close,adj_close,volume,source
2001-01-22,39.8125,39.9375,39.375,39.9375,24.656169891357422,41200,yahoo
2001-01-23,39.9375,40.375,39.5,40.3125,24.887680053710938,46500,yahoo
2001-01-24,40.375,40.375,39.1875,39.1875,24.19314956665039,23300,yahoo
2001-01-25,39.1875,39.5,38.75,39.5,24.386064529418945,140000,yahoo
2001-01-26,39.5,39.6875,39.4375,39.5625,24.42464828491211,29500,yahoo
2001-01-29,39.5,41.310001373291016,39.5,41.25,25.46645736694336,74000,yahoo
2001-01-30,41.25,41.54999923706055,40.75,40.790000915527344,25.18246841430664,63400,yahoo
2001-01-31,41.0,41.0,39.65999984741211,39.91999816894531,24.645366668701172,42000,yahoo
2001-02-01,40.0,41.25,39.75,41.0,25.31211280822754,120700,yahoo
2001-02-02,41.0,42.599998474121094,41.0,42.5,26.238168716430664,65800,yahoo
2001-02-05,42.75,43.0,41.0,41.0,25.31211280822754,50500,yahoo
2001-02-06,40.75,41.25,40.0,41.20000076293945,25.43559455871582,35000,yahoo
2001-02-07,41.20000076293945,44.0,41.20000076293945,42.86000061035156,26.460418701171875,76500,yahoo
2001-02-08,43.0,43.400001525878906,42.540000915527344,43.0,26.546855926513672,48200,yahoo
2001-02-09,43.0,43.0,42.20000076293945,42.20000076293945,26.05296516418457,27200,yahoo
2001-02-12,42.20000076293945,43.709999084472656,42.0,43.38999938964844,26.78763198852539,33100,yahoo
2001-02-13,43.13999938964844,43.9900016784668,43.13999938964844,43.599998474121094,26.917287826538086,33900,yahoo
2001-02-14,43.459999084472656,43.459999084472656,42.5,43.099998474121094,26.608596801757812,20800,yahoo
2001-02-15,43.349998474121094,43.5,42.70000076293945,43.400001525878906,26.793800354003906,18400,yahoo
2001-02-16,43.20000076293945,43.20000076293945,41.93000030517578,42.099998474121094,25.991222381591797,29600,yahoo
2001-02-20,42.099998474121094,42.099998474121094,39.099998474121094,39.400001525878906,24.324331283569336,52200,yahoo
2001-02-21,39.20000076293945,39.79999923706055,39.099998474121094,39.369998931884766,24.305809020996094,48400,yahoo
2001-02-22,39.29999923706055,39.29999923706055,39.0,39.0099983215332,24.08355712890625,85500,yahoo
2001-02-23,39.0099983215332,39.75,39.0099983215332,39.75,24.540414810180664,62700,yahoo
2001-02-26,39.79999923706055,42.650001525878906,39.79999923706055,42.099998474121094,25.991222381591797,50100,yahoo
2001-02-27,42.349998474121094,42.5,41.0,41.0,25.31211280822754,30400,yahoo
2001-02-28,41.099998474121094,41.099998474121094,39.0,39.400001525878906,24.324331283569336,59400,yahoo
2001-03-01,39.400001525878906,40.45000076293945,39.25,40.29999923706055,24.87995719909668,19700,yahoo
2001-03-02,40.20000076293945,41.54999923706055,40.04999923706055,40.5099983215332,25.009611129760742,11000,yahoo
2001-03-05,40.70000076293945,40.79999923706055,39.04999923706055,39.560001373291016,24.423110961914062,20500,yahoo
2001-03-06,39.650001525878906,40.70000076293945,39.25,39.599998474121094,24.447805404663086,13600,yahoo
2001-03-07,39.70000076293945,40.16999816894531,39.5,39.900001525878906,24.63301658630371,23300,yahoo
2001-03-08,39.900001525878906,41.0,39.900001525878906,39.95000076293945,24.663883209228516,20700,yahoo
2001-03-09,39.95000076293945,39.95000076293945,37.25,37.599998474121094,23.213064193725586,74300,yahoo
2001-03-12,38.0,38.45000076293945,37.349998474121094,38.029998779296875,23.478532791137695,38200,yahoo
2001-03-13,38.0099983215332,39.099998474121094,38.0099983215332,38.9900016784668,24.071212768554688,21400,yahoo
2001-03-14,39.0,40.209999084472656,38.529998779296875,39.20000076293945,24.200864791870117,40500,yahoo
2001-03-15,39.04999923706055,39.20000076293945,38.599998474121094,38.7400016784668,23.916873931884766,12300,yahoo
2001-03-16,38.900001525878906,38.91999816894531,38.04999923706055,38.04999923706055,23.490890502929688,67800,yahoo
2001-03-19,38.02000045776367,38.54999923706055,37.41999816894531,37.95000076293945,23.42915153503418,117300,yahoo
2001-03-20,37.95000076293945,37.95000076293945,36.099998474121094,36.189998626708984,22.342571258544922,90500,yahoo
2001-03-21,36.20000076293945,36.25,35.900001525878906,35.95000076293945,22.19441032409668,31600,yahoo
2001-03-22,35.849998474121094,35.849998474121094,33.93000030517578,34.0,20.99053955078125,49700,yahoo
2001-03-23,34.0,34.0,32.29999923706055,32.599998474121094,20.126222610473633,131600,yahoo
2001-03-26,32.599998474121094,33.5,31.25,33.25,20.527507781982422,103500,yahoo
2001-03-27,33.20000076293945,34.939998626708984,33.0,34.939998626708984,21.57086181640625,37600,yahoo
2001-03-28,35.0,35.54999923706055,33.599998474121094,35.5,21.91659927368164,37200,yahoo
2001-03-29,35.5,37.0,35.400001525878906,36.349998474121094,22.441360473632812,34700,yahoo
2001-03-30,36.25,36.54999923706055,35.349998474121094,36.0,22.22527503967285,51100,yahoo
2001-04-02,35.900001525878906,35.959999084472656,35.5,35.5,21.91659927368164,96900,yahoo
